1,1684951242.290483000,142.250.68.68,10.215.173.1,132,64,0,
2,1684951243.252502000,10.215.173.1,142.250.68.68,132,64,8,
3,1684951243.290668000,142.250.68.68,10.215.173.1,132,64,0,38.166
4,1684951244.254226000,10.215.173.1,142.250.68.68,132,64,8,
5,1684951244.290494000,142.250.68.68,10.215.173.1,132,64,0,36.268
6,1684951245.255532000,10.215.173.1,142.250.68.68,132,64,8,
7,1684951245.300735000,142.250.68.68,10.215.173.1,132,64,0,45.203
8,1684951246.256010000,10.215.173.1,142.250.68.68,132,64,8,
9,1684951246.300563000,142.250.68.68,10.215.173.1,132,64,0,44.553
10,1684951247.257888000,10.215.173.1,142.250.68.68,132,64,8,
11,1684951247.301171000,142.250.68.68,10.215.173.1,132,64,0,43.283
12,1684951248.259092000,10.215.173.1,142.250.68.68,132,64,8,
13,1684951248.300583000,142.250.68.68,10.215.173.1,132,64,0,41.491
14,1684951249.261015000,10.215.173.1,142.250.68.68,132,64,8,
15,1684951249.300386000,142.250.68.68,10.215.173.1,132,64,0,39.371
16,1684951250.262903000,10.215.173.1,142.250.68.68,132,64,8,
17,1684951250.300399000,142.250.68.68,10.215.173.1,132,64,0,37.496
18,1684951251.264313000,10.215.173.1,142.250.68.68,132,64,8,
19,1684951251.301619000,142.250.68.68,10.215.173.1,132,64,0,37.306
20,1684951252.265918000,10.215.173.1,142.250.68.68,132,64,8,
21,1684951252.309576000,142.250.68.68,10.215.173.1,132,64,0,43.658
22,1684951253.267455000,10.215.173.1,142.250.68.68,132,64,8,
23,1684951253.313910000,142.250.68.68,10.215.173.1,132,64,0,46.455
24,1684951254.268960000,10.215.173.1,142.250.68.68,132,64,8,
25,1684951254.310789000,142.250.68.68,10.215.173.1,132,64,0,41.829
26,1684951255.270768000,10.215.173.1,142.250.68.68,132,64,8,
1,1684953264.243880000,142.250.68.68,10.215.173.1,132,64,0,
2,1684953265.205927000,10.215.173.1,142.250.68.68,132,64,8,
3,1684953265.244923000,142.250.68.68,10.215.173.1,132,64,0,38.996
4,1684953266.208064000,10.215.173.1,142.250.68.68,132,64,8,
5,1684953266.253285000,142.250.68.68,10.215.173.1,132,64,0,45.221
6,1684953267.209816000,10.215.173.1,142.250.68.68,132,64,8,
7,1684953267.263445000,142.250.68.68,10.215.173.1,132,64,0,53.629
8,1684953268.211132000,10.215.173.1,142.250.68.68,132,64,8,
9,1684953268.261103000,142.250.68.68,10.215.173.1,132,64,0,49.971
10,1684953269.214172000,10.215.173.1,142.250.68.68,132,64,8,
11,1684953269.272067000,142.250.68.68,10.215.173.1,132,64,0,57.895
12,1684953270.216311000,10.215.173.1,142.250.68.68,132,64,8,
